order_id,order_date,product_category,customer_type,units,unit_price,order_value,shipping_cost,delivery_days,customer_rating
NC-20453,2026-01-01,Beauty,Returning,1,661.89,661.89,111.96,4.7,5
NC-20219,2026-01-01,Electronics,Returning,1,5494.66,5494.66,119.22,1.0,4
NC-20243,2026-01-01,Apparel,Returning,2,453.01,906.02,161.54,4.5,5
NC-20329,2026-01-02,Electronics,New,1,5545.33,5545.33,157.2,6.0,4
NC-20287,2026-01-02,Apparel,Wholesale,46,951.31,43760.26,147.33,5.0,3
NC-20192,2026-01-04,Home & Living,New,1,1087.28,1087.28,175.98,6.0,4
NC-20396,2026-01-04,Electronics,Returning,3,2309.28,69278.4,182.48,1.5,4
NC-20136,2026-01-04,Apparel,Returning,3,1058.56,3175.68,187.78,3.5,2
NC-20224,2026-01-05,Home & Living,New,3,598.49,1795.47,162.64,6.9,4
NC-20440,2026-01-05,Electronics,Returning,1,2066.68,2066.68,149.58,2.7,4
NC-20461,2026-01-05,Apparel,Returning,1,583.51,583.51,148.13,4.8,5
NC-20110,2026-01-06,Home & Living,New,2,1585.9,3171.8,151.87,2.1,4
NC-20080,2026-01-06,Electronics,New,2,5631.24,11262.48,185.97,7.4,2
NC-20499,2026-01-07,Home & Living,Wholesale,30,929.6,27888.0,182.88,7.5,2
NC-20012,2026-01-07,Apparel,Returning,1,804.57,804.57,155.68,2.3,5
NC-20026,2026-01-08,Home & Living,Returning,1,2437.56,2437.56,171.94,4.0,5
NC-20399,2026-01-08,Sports,Returning,2,1573.42,3146.84,100.07,4.5,5
NC-20176,2026-01-08,Apparel,Returning,3,2574.64,7723.92,129.42,4.7,4
NC-20366,2026-01-08,Home & Living,New,3,749.91,2249.73,120.74,4.4,3
NC-20218,2026-01-09,Beauty,Returning,1,567.25,567.25,218.05,3.6,4
NC-20034,2026-01-09,Electronics,Returning,5,2864.74,14323.7,184.14,3.0,3
NC-20344,2026-01-09,Apparel,New,1,1709.6,1709.6,156.45,5.0,5
NC-20437,2026-01-09,Apparel,Wholesale,54,391.72,21152.88,205.24,4.5,2
NC-20061,2026-01-09,Home & Living,Returning,1,1447.04,1447.04,224.63,5.2,5
NC-20457,2026-01-12,Home & Living,Returning,1,604.83,604.83,164.4,5.3,4
NC-20349,2026-01-12,Apparel,Returning,2,1336.08,2672.16,132.46,3.7,5
NC-20295,2026-01-12,Beauty,New,3,576.46,1729.38,116.78,5.0,5
NC-20121,2026-01-12,Electronics,New,2,15608.59,31217.18,138.76,3.0,4
NC-20144,2026-01-12,Beauty,Returning,2,949.41,1898.82,107.48,3.9,2
NC-20023,2026-01-12,Home & Living,New,1,4233.83,4233.83,159.41,7.7,4
NC-20281,2026-01-12,Home & Living,Returning,1,1847.07,1847.07,202.97,1.0,4
NC-20028,2026-01-13,Sports,Wholesale,60,651.37,39082.2,216.31,5.5,4
NC-20217,2026-01-13,Beauty,New,3,572.76,1718.28,161.99,3.1,5
NC-20319,2026-01-13,Electronics,New,3,2910.21,8730.63,147.14,4.0,3
NC-20398,2026-01-13,Electronics,Returning,2,2764.27,5528.54,119.23,2.8,5
NC-20298,2026-01-13,Beauty,Returning,1,925.92,925.92,194.89,3.4,2
NC-20027,2026-01-13,Apparel,New,3,666.46,1999.38,190.08,3.6,2
NC-20092,2026-01-14,Beauty,Returning,2,808.79,1617.58,87.05,3.4,5
NC-20113,2026-01-14,Electronics,Returning,1,2214.12,2214.12,159.84,5.6,5
NC-20470,2026-01-14,Beauty,Returning,1,534.43,534.43,136.73,5.4,4
NC-20047,2026-01-14,Electronics,New,3,1711.14,5133.42,107.97,4.3,4
NC-20049,2026-01-16,Home & Living,Returning,2,725.42,1450.84,122.98,10.6,1
NC-20389,2026-01-16,Beauty,Returning,3,732.36,2197.08,145.99,4.1,2
NC-20200,2026-01-16,Home & Living,New,1,1218.45,1218.45,124.6,4.4,5
NC-20221,2026-01-17,Sports,New,3,1212.6,3637.8,170.15,5.7,5
NC-20345,2026-01-18,Electronics,New,4,10100.98,40403.92,175.13,4.7,4
NC-20079,2026-01-18,Home & Living,Returning,2,2345.07,4690.14,158.9,5.6,4
NC-20074,2026-01-18,Home & Living,Wholesale,53,753.95,39959.35,195.67,8.4,2
NC-20403,2026-01-18,Electronics,Wholesale,30,1170.7,35121.0,146.51,5.4,4
NC-20416,2026-01-18,Home & Living,New,1,3175.12,3175.12,133.15,4.6,2
